"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Kyle Nicolas","PIT","RP","47.4","47","0","0","4","4.32","1.43","23","43","24","5","44","2","2","0%"
"Casey Lawrence","SEA","SP","11.0","7","0","0","1","4.91","1.36","6","12","3","2","11","1","1","0%"
"Jackson Kowar","SEA","RP","27.6","27","0","0","1","4.41","1.40","14","26","13","3","25","1","2","0%"
"Eric Cerantola","KC","","13.4","13","0","0","1","4.51","1.48","7","12","7","1","13","1","0","0%"
"Dane Acker","TEX","SP,RP","9.9","8","0","0","0","4.97","1.44","5","10","4","1","4","0","1","0%"
"Tyler Gilbert","CWS","RP","50.3","43","0","0","6","4.48","1.35","25","52","16","7","44","2","3","0%"
"Nick Nelson","","RP","12.7","11","0","0","0","4.67","1.49","7","13","6","1","9","1","0","0%"
"Joel Kuhnel","PHI","RP","15.7","11","0","0","0","4.44","1.31","8","16","4","2","12","1","1","0%"
"Jesse Scholtens","CWS","SP,RP","8.8","7","0","0","0","5.41","1.52","5","10","4","2","2","0","1","0%"
"Jack O'Loughlin","COL","SP,RP","12.0","9","0","0","1","5.48","1.64","7","14","6","2","8","0","1","0%"
"Yosver Zulueta","CIN","RP","41.0","41","0","0","2","4.27","1.45","19","39","21","4","37","2","2","0%"
"Jonathan Hernandez","TB","RP","24.1","22","0","0","1","4.46","1.45","12","23","12","3","23","1","1","0%"
"Matt Barnes","","RP","24.6","21","0","0","1","4.56","1.41","12","24","10","3","24","1","2","0%"
"Dominic Leone","","RP","23.5","24","0","0","1","4.88","1.45","13","22","12","4","23","1","1","0%"
"Ross Stripling","KC","SP,RP","24.9","17","0","0","1","4.71","1.36","13","28","6","3","13","1","1","0%"
"Tyler Matzek","NYY","RP","34.2","32","0","0","2","4.61","1.42","18","32","16","5","32","1","1","0%"
"Garrett McDaniels","LAA","","48.1","41","0","0","5","4.41","1.44","24","48","21","6","46","2","2","0%"
"Dan Altavilla","CWS","RP","20.5","19","0","0","1","4.58","1.43","10","20","10","3","21","1","1","0%"
"Dylan Covey","ATL","RP","18.6","14","0","0","0","4.58","1.46","9","20","7","2","13","1","1","0%"
"Joey Wentz","PIT","RP","57.8","56","0","0","8","4.38","1.37","28","55","24","7","49","3","3","0%"
"Carson Fulmer","PIT","SP,RP","26.9","23","0","0","1","4.55","1.45","14","26","14","3","14","1","1","0%"
"Deivi Garcia","MIL","RP","19.8","21","0","0","0","5.14","1.50","11","18","12","3","16","1","1","0%"
"Janson Junk","MIA","SP,RP","20.3","15","0","0","1","4.71","1.39","11","22","6","3","18","1","1","0%"
"Luis Frias","CLE","RP","17.9","18","0","0","1","4.48","1.43","9","17","9","2","17","1","1","0%"
"Tyler Zuber","NYM","RP","32.0","31","0","0","1","4.74","1.40","17","30","15","5","30","2","2","0%"
"Thaddeus Ward","BAL","SP","15.8","13","0","0","1","4.73","1.55","8","15","9","2","14","1","1","0%"
"Allan Winans","NYY","SP,RP","23.6","18","0","0","1","4.48","1.30","12","24","7","4","13","1","1","0%"
"Chad Kuhl","ATL","RP","7.7","6","0","0","0","5.34","1.56","5","8","4","1","4","0","0","0%"
"Lyon Richardson","CIN","SP,RP","14.4","13","0","0","1","4.64","1.48","7","14","7","2","10","1","1","0%"
"Will Klein","SEA","RP","24.9","25","0","0","1","4.49","1.50","12","22","15","3","24","1","1","0%"
"Guillo Zuniga","PHI","RP","18.3","15","0","0","1","4.93","1.42","10","18","8","3","17","1","1","0%"
"Alex Wood","","SP","51.0","42","0","0","0","4.71","1.41","27","53","19","7","12","3","4","0%"
"Kolby Allard","CLE","SP,RP","23.7","20","0","0","1","4.84","1.42","13","25","8","4","18","1","1","0%"
"Brandon Bielak","ARI","RP","13.0","9","0","0","0","5.00","1.52","7","14","5","2","6","0","1","0%"
"Chris Stratton","KC","RP","56.5","46","1","1","7","4.61","1.43","29","56","24","7","53","3","3","0%"
"John Curtiss","ARI","RP","21.0","16","0","0","1","4.82","1.41","11","22","7","3","20","1","1","0%"
"Luis Peralta","COL","RP","58.0","59","1","0","10","4.61","1.49","30","56","30","7","55","2","3","0%"
"Lake Bachar","MIA","RP","51.9","48","0","0","10","4.60","1.41","27","52","22","8","49","2","3","0%"
"Michael Arias","NYY","RP","16.2","15","0","0","1","5.44","1.78","10","15","14","2","16","1","1","0%"
"Kenny Rosenberg","","SP","23.6","19","0","0","0","5.10","1.45","13","24","10","5","6","1","1","0%"
"Dylan Coleman","BAL","RP","18.3","19","0","0","1","4.55","1.51","9","16","12","2","18","1","1","0%"
"Paolo Espino","","SP","5.6","3","0","0","0","6.52","1.60","4","7","2","1","2","0","0","0%"
"Sixto Sanchez","","SP,RP","22.8","14","0","0","0","4.06","1.33","10","24","7","2","6","1","1","0%"
"Christian Roa","MIA","RP","14.0","14","0","0","0","4.58","1.56","7","14","8","2","10","1","1","0%"
"Matt Sauer","LAD","RP","22.0","18","0","0","1","4.74","1.39","12","22","9","3","21","1","1","0%"
"Jake Woodford","COL","SP","17.7","13","0","0","1","5.04","1.49","10","20","6","3","11","1","1","0%"
"Tanner Rainey","PIT","RP","41.9","38","1","0","2","4.93","1.45","23","40","21","6","40","1","2","0%"
"Orlando Ribalta","WSH","RP","37.5","35","0","0","2","4.75","1.47","20","36","20","5","38","2","2","0%"
"Yerry Rodriguez","","RP","14.7","14","0","0","0","5.31","1.60","9","15","9","2","14","1","1","0%"
"Jefry Yan","COL","","29.3","30","0","0","1","4.83","1.54","16","29","16","4","26","1","1","0%"
"Anthony Maldonado","ATH","RP","29.3","26","0","0","0","4.91","1.49","16","29","15","5","25","2","2","0%"
"Griff McGarry","PHI","RP","15.7","16","0","0","1","4.77","1.60","8","14","11","2","16","1","1","0%"
"Noah Davis","BOS","RP","6.9","5","0","0","0","5.78","1.60","4","8","3","1","2","0","0","0%"
"Michael Mercado","PHI","SP,RP","31.1","27","0","0","1","4.88","1.44","17","31","14","5","26","2","2","0%"
"Brett de Geus","MIA","RP","27.9","20","0","0","1","4.60","1.46","14","30","11","3","27","1","2","0%"
"Ken Waldichuk","ATH","SP,RP","29.3","30","0","0","0","4.98","1.42","16","28","13","5","6","1","2","0%"
"Noah Murdock","ATH","RP","45.5","39","0","0","3","4.53","1.51","23","43","26","5","43","2","2","0%"
"Jordan Weems","ATL","RP","34.4","33","0","0","1","4.94","1.46","19","33","17","5","31","1","1","0%"
"Bryan Shaw","CIN","RP","19.2","16","0","0","1","5.02","1.56","11","20","10","3","19","1","1","0%"
"Bryce Jarvis","ARI","RP","48.6","38","0","0","2","4.75","1.48","26","49","23","7","42","2","2","0%"
"Diego Castillo","COL","RP","37.9","32","0","0","3","4.91","1.53","21","39","19","5","36","1","2","0%"
